negativeId,year,repository,place,prov,region,lat,lon
6638,1925,Pieve di Sant'Agnese,Sant'Agnese in Chianti,SI,TOSCANA,,
6639,1925,S. Giusto in Villore,San Giovanni d'Asso,SI,TOSCANA,,
6640,1925,Palazzo Comunale,San Gimignano,SI,TOSCANA,,
6641,1925,Palazzo Comunale,San Gimignano,SI,TOSCANA,,
6642,1925,Palazzo Comunale,San Gimignano,SI,TOSCANA,,
6643,1925,Palazzo Comunale di San Gimignano,San Gimignano,SI,TOSCANA,,
6648,1925,Palazzo Comunale,San Gimignano,SI,TOSCANA,,
6652,1925,S. Lorenzo in Ponte,San Gimignano,SI,TOSCANA,,
6653,1925,Palazzo Comunale,San Gimignano,SI,TOSCANA,,
6654,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6655,1925,Museo d'Arte Sacra,San Gimignano,SI,TOSCANA,,
6663,1925,Collegiata di San Gimignano,San Gimignano,SI,TOSCANA,,
6664,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6665,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6666,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6667,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6668,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6669,1925,Collegiata,San Gimignano,SI,TOSCANA,,
6674,1925,Sta. Maria al Morocco,Tavarnelle Val di Pesa,FI,TOSCANA,,
6681,1925,Sta. Maria,Quinto Fiorentino,FI,TOSCANA,,
6682,1925,S. Martino,Sesto Fiorentino,FI,TOSCANA,,
6683,1925,S. Martino,Sesto Fiorentino,FI,TOSCANA,,
6685,1925,S. Jacopo a Girone,Firenze,FI,TOSCANA,,
6687,1925,"S. Donnino, Villamagna",Bagno a Ripoli,FI,TOSCANA,,
6689,1925,"S. Donnino, Villamagna",Bagno a Ripoli,FI,TOSCANA,,
6690,1926,,,,TOSCANA,,
